TUMOR MAPPING/ALIGNING SUMMARY,,Total reads,3000000,100
TUMOR MAPPING/ALIGNING SUMMARY,,Mapped reads,2900000,96.67
TUMOR MAPPING/ALIGNING SUMMARY,,Unmapped reads,100000,3.33
TUMOR MAPPING/ALIGNING SUMMARY,,Total bases,450000000,
NORMAL MAPPING/ALIGNING SUMMARY,,Total reads,1500000,100
NORMAL MAPPING/ALIGNING SUMMARY,,Mapped reads,1460000,97.33
NORMAL MAPPING/ALIGNING SUMMARY,,Unmapped reads,40000,2.67
NORMAL MAPPING/ALIGNING SUMMARY,,Total bases,226500000,
TUMOR MAPPING/ALIGNING PER RG,BC01.1.FC1,Total reads,3000000,100
TUMOR MAPPING/ALIGNING PER RG,BC01.1.FC1,Mapped reads,2900000,96.67
TUMOR MAPPING/ALIGNING PER RG,BC01.1.FC1,Unmapped reads,100000,3.33
TUMOR MAPPING/ALIGNING PER RG,BC01.1.FC1,Total bases,450000000,
NORMAL MAPPING/ALIGNING PER RG,BC02.1.FC1,Total reads,1500000,100
NORMAL MAPPING/ALIGNING PER RG,BC02.1.FC1,Mapped reads,1460000,97.33
NORMAL MAPPING/ALIGNING PER RG,BC02.1.FC1,Unmapped reads,40000,2.67
NORMAL MAPPING/ALIGNING PER RG,BC02.1.FC1,Total bases,226500000,
